mode,policy,seed,min_delivery_during_burst,max_p95_during_burst,recovery_time_delivery_ms,recovery_time_goodput_ms
medium,HIER_STAGE3,7,1.0,120.14342865572105,0.0,0.0
medium,HIER_STAGE3,8,1.0,78.39999999999873,0.0,200.0
medium,HIER_STAGE3,9,1.0,63.25735230321535,0.0,0.0
medium,ecmp,0,1.0,172.30421702528582,0.0,0.0
medium,ecmp,1,1.0,158.6281572681946,0.0,0.0
medium,ecmp,2,1.0,190.36569241417442,0.0,100.0
medium,ecmp,3,1.0,190.96256675667823,0.0,0.0
medium,ecmp,4,1.0,252.87455318123165,0.0,100.0
medium,ecmp,5,1.0,264.0753022175294,0.0,700.0
medium,ecmp,6,1.0,169.63775081569966,0.0,600.0
medium,ecmp,7,1.0,267.0813521251271,0.0,0.0
medium,ecmp,8,1.0,191.99032884662765,0.0,200.0
medium,ecmp,9,1.0,221.1123278620197,0.0,0.0
medium,sp,0,0.6078431372549019,584.2045380102537,1100.0,900.0
medium,sp,1,0.5693430656934306,607.0751743114307,1100.0,100.0
medium,sp,2,0.5533333333333333,573.5314621677211,1000.0,1000.0
medium,sp,3,0.5960264900662252,589.2516061332335,1000.0,1100.0
medium,sp,4,0.559748427672956,689.762614740031,900.0,1000.0
medium,sp,5,0.5467625899280576,634.5119712468061,1000.0,1000.0
medium,sp,6,0.6280487804878049,612.1200791891268,,
medium,sp,7,0.6148648648648649,657.0277431808053,1000.0,700.0
medium,sp,8,0.6137931034482759,622.3052236643337,1100.0,1000.0
medium,sp,9,0.6011904761904762,617.8200052908929,,0.0
