policy,mode,delivery_ratio_avg,p95_latency_ms_avg,goodput_mbps_avg,reward_avg
ecmp,light,1.0,49.93594964593283,13.6368,0.5928561227701032
ecmp,medium,1.0,110.78107836964459,15.1096,0.6058532770844302
ecmp,heavy,0.9972304861473397,405.35359401560845,16.584,0.5783945783792099
ecmp,burst,0.8635689673444606,452.44131771156447,17.4528,0.5363413677089752
hier,light,1.0,51.36679583125933,13.6368,0.5888119461359411
hier,medium,1.0,59.95351989368068,15.1096,0.6632131373454789
hier,heavy,1.0,64.20955679966248,16.6304,0.7869521410252793
hier,burst,1.0,84.65359064552732,20.2104,0.8978062497612752
ospf,light,1.0,49.93594964593283,13.6368,0.5928561227701032
ospf,medium,1.0,110.78107836964459,15.1096,0.6058532770844302
ospf,heavy,0.9972304861473397,405.35359401560845,16.584,0.5783945783792099
ospf,burst,0.8635689673444606,452.44131771156447,17.4528,0.5363413677089752
