policy,mode,seed,delivery_ratio,p95_latency_ms,goodput_mbps,reward_total,avg_latency_ms,p50_latency_ms,undelivered
sp,light,0,1.0,44.32124380074413,13.456,0.5955244914492913,36.96570638991394,35.56909807220177,0
sp,light,1,1.0,55.73223314169288,13.8,0.5889946981518028,39.343180589883765,36.037877419595475,0
sp,light,2,1.0,46.60968120982454,13.768,0.5977613001674624,37.32970611618306,35.494629356479436,0
sp,light,3,1.0,51.26480685523561,13.596,0.5920900669787202,38.102578012119956,35.533178871214204,0
sp,light,4,1.0,51.75178322216698,13.564,0.5899100571032391,38.53729364660461,35.742994793348316,0
sp,medium,0,1.0,122.5811390869872,15.016,0.6205852365660602,54.78303486621674,51.50270862467153,0
sp,medium,1,1.0,133.98203516285093,15.284,0.5601612161573293,73.58731061522596,64.57241570177825,0
sp,medium,2,1.0,84.50410769771416,15.28,0.6230347142704862,54.01614618540747,54.92398515511741,0
sp,medium,3,1.0,91.62516534620839,14.908,0.6156964064187234,54.85611318359918,50.138392664924595,0
sp,medium,4,1.0,121.21294455446218,15.06,0.6097888120095523,58.35461208252133,49.89887716027556,0
sp,heavy,0,0.9933030375508252,426.6280977830479,16.612,0.5866761463701231,174.78458663889782,144.8335744257338,28
sp,heavy,1,0.9937977099236641,445.18547039317684,16.664,0.566467670004757,195.9922508751894,166.58743837748318,26
sp,heavy,2,0.9990516832622096,405.32981514441275,16.856,0.5771383650369809,179.87221923449547,150.46835607514583,4
sp,heavy,3,1.0,351.68526876420447,16.324,0.5739841362018258,169.89686961908976,155.89609708247917,0
sp,heavy,4,1.0,397.93931799320046,16.464,0.5877065742823634,168.52666526554395,173.1243494046206,0
sp,burst,0,0.8546134172732638,452.52370932942296,17.376,0.5359202997218786,269.1243863721175,344.4880551075199,739
sp,burst,1,0.8588421887390959,452.597929273869,17.328,0.5312268286461845,272.7043662781551,377.98380464577286,712
sp,burst,2,0.8678250683326826,452.3938488622346,17.78,0.5388132749613729,265.2294615736658,347.434124512798,677
sp,burst,3,0.8687872763419483,452.40146193614726,17.48,0.5403507642750028,267.7093367302048,360.44405350099737,660
sp,burst,4,0.867776886035313,452.28963915614867,17.3,0.5353956709404375,271.6937929798798,380.2931740141139,659
ecmp,light,0,1.0,44.32124380074413,13.456,0.5955244914492913,36.96570638991394,35.56909807220177,0
ecmp,light,1,1.0,55.73223314169288,13.8,0.5889946981518028,39.343180589883765,36.037877419595475,0
ecmp,light,2,1.0,46.60968120982454,13.768,0.5977613001674624,37.32970611618306,35.494629356479436,0
ecmp,light,3,1.0,51.26480685523561,13.596,0.5920900669787202,38.102578012119956,35.533178871214204,0
ecmp,light,4,1.0,51.75178322216698,13.564,0.5899100571032391,38.53729364660461,35.742994793348316,0
ecmp,medium,0,1.0,122.5811390869872,15.016,0.6205852365660602,54.78303486621674,51.50270862467153,0
ecmp,medium,1,1.0,133.98203516285093,15.284,0.5601612161573293,73.58731061522596,64.57241570177825,0
ecmp,medium,2,1.0,84.50410769771416,15.28,0.6230347142704862,54.01614618540747,54.92398515511741,0
