policy,pps,seed,delivery_ratio,p95_latency_ms,p50_latency_ms,avg_latency_ms,goodput_mbps,max_queue_bytes,avg_queue_bytes,undelivered
sp,340,0,0.9012103369316323,450.54117647052664,440.11764705867245,369.84737055614465,11.02,525000.0,10024.28409090909,302
sp,340,1,0.9012103369316323,450.54117647052664,440.11764705867245,369.84737055614465,11.02,525000.0,10024.28409090909,302
sp,340,2,0.9012103369316323,450.54117647052664,440.11764705867245,369.84737055614465,11.02,525000.0,10024.28409090909,302
sp,380,0,0.78965819456617,451.5368421052843,450.54736842108537,415.60546760908005,10.812,525000.0,11316.71590909091,720
sp,380,1,0.78965819456617,451.5368421052843,450.54736842108537,415.60546760908005,10.812,525000.0,11316.71590909091,720
sp,380,2,0.78965819456617,451.5368421052843,450.54736842108537,415.60546760908005,10.812,525000.0,11316.71590909091,720
sp,400,0,0.7422222222222222,451.1000000000133,439.70000000004734,424.7520209580442,10.688,525000.0,11573.363636363636,928
sp,400,1,0.7422222222222222,451.1000000000133,439.70000000004734,424.7520209580442,10.688,525000.0,11573.363636363636,928
sp,400,2,0.7422222222222222,451.1000000000133,439.70000000004734,424.7520209580442,10.688,525000.0,11573.363636363636,928
sp,420,0,0.7055247158339942,475.8209523808408,458.2857142857363,445.9289122018088,10.676,525000.0,12223.045454545454,1114
sp,420,1,0.7055247158339942,475.8209523808408,458.2857142857363,445.9289122018088,10.676,525000.0,12223.045454545454,1114
sp,420,2,0.7055247158339942,475.8209523808408,458.2857142857363,445.9289122018088,10.676,525000.0,12223.045454545454,1114
sp,440,0,0.7010361384887541,632.2972727269437,536.5909090909598,527.3734023726092,11.096,525000.0,14996.375,1183
sp,440,1,0.7010361384887541,632.2972727269437,536.5909090909598,527.3734023726092,11.096,525000.0,14996.375,1183
sp,440,2,0.7010361384887541,632.2972727269437,536.5909090909598,527.3734023726092,11.096,525000.0,14996.375,1183
sp,460,0,0.6971235194585449,792.5956521735436,617.2347826087247,609.527781462851,11.536,525000.0,17752.261363636364,1253
sp,460,1,0.6971235194585449,792.5956521735436,617.2347826087247,609.527781462851,11.536,525000.0,17752.261363636364,1253
sp,460,2,0.6971235194585449,792.5956521735436,617.2347826087247,609.527781462851,11.536,525000.0,17752.261363636364,1253
sp,480,0,0.6715311558952977,867.7499999997069,690.7166666666924,672.8069621707874,11.596,525000.0,20098.738636363636,1418
sp,480,1,0.6715311558952977,867.7499999997069,690.7166666666924,672.8069621707874,11.596,525000.0,20098.738636363636,1418
sp,480,2,0.6715311558952977,867.7499999997069,690.7166666666924,672.8069621707874,11.596,525000.0,20098.738636363636,1418
sp,490,0,0.654421768707483,868.08775510181,724.9265306122666,691.6031255744932,11.544,525000.0,20827.397727272728,1524
sp,490,1,0.654421768707483,868.08775510181,724.9265306122666,691.6031255744932,11.544,525000.0,20827.397727272728,1524
sp,490,2,0.654421768707483,868.08775510181,724.9265306122666,691.6031255744932,11.544,525000.0,20827.397727272728,1524
sp,500,0,0.6384444444444445,868.3999999997399,755.6000000000213,705.5285764009054,11.492,525000.0,21391.045454545456,1627
sp,500,1,0.6384444444444445,868.3999999997399,755.6000000000213,705.5285764009054,11.492,525000.0,21391.045454545456,1627
sp,500,2,0.6384444444444445,868.3999999997399,755.6000000000213,705.5285764009054,11.492,525000.0,21391.045454545456,1627
sp,510,0,0.6224111619795073,867.9450980388945,787.678431372553,716.1694996736818,11.42,525000.0,21802.363636363636,1732
sp,510,1,0.6224111619795073,867.9450980388945,787.678431372553,716.1694996736818,11.42,525000.0,21802.363636363636,1732
sp,510,2,0.6224111619795073,867.9450980388945,787.678431372553,716.1694996736818,11.42,525000.0,21802.363636363636,1732
sp,540,0,0.5788065843621399,868.2518518516829,855.4962962961924,735.7366143960395,11.252,525000.0,22651.125,2047
sp,540,1,0.5788065843621399,868.2518518516829,855.4962962961924,735.7366143960395,11.252,525000.0,22651.125,2047
sp,540,2,0.5788065843621399,868.2518518516829,855.4962962961924,735.7366143960395,11.252,525000.0,22651.125,2047
sp,560,0,0.5547619047619048,868.2607142856934,856.071428571302,741.998584712808,11.184,525000.0,23011.25,2244
sp,560,1,0.5547619047619048,868.2607142856934,856.071428571302,741.998584712808,11.184,525000.0,23011.25,2244
sp,560,2,0.5547619047619048,868.2607142856934,856.071428571302,741.998584712808,11.184,525000.0,23011.25,2244
sp,620,0,0.4898799928353932,867.974193548287,857.0580645161835,754.1903591437015,10.94,525000.0,23597.022727272728,2848
sp,620,1,0.4898799928353932,867.974193548287,857.0580645161835,754.1903591437015,10.94,525000.0,23597.022727272728,2848
sp,620,2,0.4898799928353932,867.974193548287,857.0580645161835,754.1903591437015,10.94,525000.0,23597.022727272728,2848
ecmp,340,0,1.0,34.23529411764707,33.600000000000136,30.07843137254873,12.228,4500.0,229.0681818181818,0
ecmp,340,1,1.0,34.23529411764707,33.600000000000136,30.07843137254873,12.228,4500.0,229.0681818181818,0
ecmp,340,2,1.0,34.23529411764707,33.600000000000136,30.07843137254873,12.228,4500.0,229.0681818181818,0
ecmp,380,0,1.0,33.600000000000136,33.599999999999454,30.04149022863881,13.692,4500.0,256.84090909090907,0
ecmp,380,1,1.0,33.600000000000136,33.599999999999454,30.04149022863881,13.692,4500.0,256.84090909090907,0
ecmp,380,2,1.0,33.600000000000136,33.599999999999454,30.04149022863881,13.692,4500.0,256.84090909090907,0
ecmp,400,0,1.0,33.600000000000136,33.599999999999454,29.866666666666493,14.4,3000.0,265.875,0
ecmp,400,1,1.0,33.600000000000136,33.599999999999454,29.866666666666493,14.4,3000.0,265.875,0
