topology,flow_pairs_id,flows,variant,base_pps,burst_pps,burst_start_ms,burst_end_ms,policy,seed,delivery_ratio,goodput_mbps,p95_latency_ms,delivery_burst,p95_latency_burst,goodput_burst_mbps,service_ratio_bits
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,3,1.0,18.032,58.50387701329578,1.0,68.36338448301733,21.24,1.0
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,3,0.9691659272404614,17.476,123.199999999998,0.9717514124293786,134.76582904331758,20.64,0.9717514124293786
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,SP,4,0.6482622085349758,11.788,867.1785038574178,0.539355992844365,868.4379044038127,12.06,0.539355992844365
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,ECMP,4,0.9502859656841179,17.28,449.7599593284473,0.9194991055456172,450.2370070855508,20.56,0.9194991055456172
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,4,1.0,18.184,67.90421909846941,1.0,78.72458019490121,22.36,1.0
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,4,0.9720633523977122,17.676,123.199999999998,0.9704830053667263,157.35557407483935,21.7,0.9704830053667263
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,SP,0,0.3244327297730919,11.324,1283.3296410099567,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,ECMP,0,0.6430208572083429,22.444,853.9547187713633,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,HIER_STAGE3,0,0.900183360073344,31.42,582.2749559229517,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,PPO_CANDIDATE,0,0.981205592482237,34.248,241.60945208457855,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,SP,1,0.31172875100911085,10.812,1284.3571787652184,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,ECMP,1,0.6438703725060546,22.332,853.1741647711968,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,HIER_STAGE3,1,0.8827124899088917,30.616,726.2330662550411,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,PPO_CANDIDATE,1,0.9830469380694268,34.096,259.2675761891401,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,SP,2,0.3094637946837763,10.804,1284.0906057563188,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,ECMP,2,0.6400091659028414,22.344,855.1596583039236,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,HIER_STAGE3,2,0.78448670944088,27.388,453.5784724533105,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,PPO_CANDIDATE,2,0.9826993583868011,34.308,275.56427717877204,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,SP,3,0.32570628064440815,11.16,1284.1539468452445,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,ECMP,3,0.6515293018911977,22.324,831.0129087519645,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,HIER_STAGE3,3,0.915946766285314,31.384,604.3730434005738,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,PPO_CANDIDATE,3,0.9817884660284847,33.64,247.0507301327358,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,SP,4,0.3110803643491295,10.792,1284.2732880819656,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,ECMP,4,0.6482186094776894,22.488,853.2466828144748,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,HIER_STAGE3,4,0.7619047619047619,26.432,452.40807156557423,,,,
NSFNET,0-4_1-4_3-12,6,static,480.0,580.0,,,PPO_CANDIDATE,4,0.9836273492447827,34.124,263.18127948650414,,,,
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,SP,0,0.3114068859311407,11.324,1284.4287086187112,0.2806845965770171,1284.1178894656794,11.48,0.2806845965770171
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,ECMP,0,0.6168738312616874,22.432,855.3721385967622,0.5990220048899756,813.8046828527555,24.5,0.5990220048899756
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,0,0.8702012979870202,31.644,558.7225871742141,0.8508557457212714,539.6245768669331,34.8,0.8508557457212714
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,0,0.984380156198438,35.796,405.27871160622516,0.9877750611246944,324.73583827320624,40.4,0.9877750611246944
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,SP,1,0.299700631999113,10.812,1284.6345274793673,0.28516377649325625,1284.152545426886,11.84,0.28516377649325625
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,ECMP,1,0.6186938684998337,22.32,855.9629901983407,0.6021194605009634,847.3050036006421,25.0,0.6021194605009634
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,1,0.8502051225191263,30.672,721.5447415986002,0.7683044315992292,673.2867294476227,31.9,0.7683044315992292
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,1,0.9835901984698969,35.484,407.46135621237454,0.9841040462427746,335.2597663612923,40.86,0.9841040462427746
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,SP,2,0.2962597345618076,10.804,1284.7031311871942,0.2673170731707317,1284.9573915987578,10.96,0.2673170731707317
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,ECMP,2,0.6120434353405726,22.32,856.3887275978633,0.5985365853658536,824.2620261725625,24.54,0.5985365853658536
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,2,0.8004826148952506,29.192,485.03874444289016,0.7663414634146342,463.0135713631537,31.42,0.7663414634146342
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,2,0.983218163869694,35.856,466.2000932119583,0.9868292682926829,371.88374874826593,40.46,0.9868292682926829
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,SP,3,0.3118712273641851,11.16,1284.5295298990395,0.2770970782280867,1285.1148805394478,11.76,0.2770970782280867
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,ECMP,3,0.6237424547283702,22.32,855.8517828748656,0.5810556079170593,855.4551673657196,24.66,0.5810556079170593
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,3,0.878716744913928,31.444,596.2170046406286,0.8180961357210179,686.489755812645,34.72,0.8180961357210179
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,3,0.981332439078918,35.116,406.3950098101454,0.9853911404335532,413.43509524206297,41.82,0.9853911404335532
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,SP,4,0.2992125984251969,10.792,1284.7437320245083,0.26761252446183953,1285.0166088454846,10.94,0.26761252446183953
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,ECMP,4,0.6221581457247422,22.44,855.449325420752,0.5670254403131115,855.1223914915288,23.18,0.5670254403131115
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,4,0.7647776422313408,27.584,460.14782420281455,0.6668297455968689,498.59892541316646,27.26,0.6668297455968689
NSFNET,0-4_1-4_3-12,6,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,4,0.9848064766552068,35.52,454.9079204958524,0.9892367906066536,394.86849128697287,40.44,0.9892367906066536
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,SP,0,0.204957539591462,10.716,1285.4537716148286,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,ECMP,0,0.4163415193940785,21.768,868.1683745815394,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,HIER_STAGE3,0,0.6118124091500268,31.988,839.7035150769206,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,PPO_CANDIDATE,0,0.811797108101905,42.444,1174.9189558118442,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,SP,1,0.20604522381172127,10.716,1285.4100664636685,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,ECMP,1,0.421012151976619,21.896,868.1167458430235,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,HIER_STAGE3,1,0.6142901092139671,31.948,769.5635665615589,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,PPO_CANDIDATE,1,0.8162590370712198,42.452,1103.477395686494,,,,
